reference,variant,metric,variant_mean,diff_mean,diff_sd,n_seeds
threshold_80,orch_no_preemption,avg_price_usd_mwh,28.496914237286763,-7.621735426662231,0.8419278816390489,6
threshold_80,orch_no_preemption,peak_charging_mw,3.6196315627628253,0.4487604574566572,0.04066041871573373,6
threshold_80,orch_no_preemption,queue_wait_mean_min,30.784419144182078,25.175143045704733,2.0697991843808445,6
threshold_80,orch_no_preemption,sessions_per_vehicle_day,1.2348051948051946,0.2056709956709956,0.008461979960497377,6
threshold_80,orch_no_price_signal,service_rate,0.9614967858688299,0.031243445654594176,0.00554854361614697,6
threshold_80,orch_no_price_signal,wait_mean_min,6.39852571985467,-0.4544518730679332,0.08141188060193202,6
threshold_80,orch_no_price_signal,energy_cost_usd_per_day,458.2339373186788,-88.19768553335257,12.250849676416571,6
threshold_80,orch_no_price_signal,avg_price_usd_mwh,28.862849776863204,-7.255799887085789,0.9004508439170416,6
threshold_80,orch_no_price_signal,peak_charging_mw,3.630103186975591,0.45923208166942314,0.06657554121294744,6
threshold_80,orch_no_price_signal,queue_wait_mean_min,20.757701446415645,15.1484253479383,1.3889817582708508,6
threshold_80,orch_no_price_signal,sessions_per_vehicle_day,1.331341991341991,0.30220779220779215,0.01752024586045996,6
threshold_80,orch_no_reserve,service_rate,0.9617306573337845,0.03147731711954865,0.005051667838137451,6
threshold_80,orch_no_reserve,wait_mean_min,6.383438690283453,-0.46953890263914966,0.07877482866779878,6
threshold_80,orch_no_reserve,energy_cost_usd_per_day,452.59093217297203,-93.84069067905938,11.202693270718665,6
threshold_80,orch_no_reserve,avg_price_usd_mwh,28.59525949685809,-7.523390167090905,0.8406750770479873,6
threshold_80,orch_no_reserve,peak_charging_mw,3.727278959046167,0.5564078537399988,0.08520057453683087,6
threshold_80,orch_no_reserve,queue_wait_mean_min,17.483242020581542,11.8739659221042,1.4967804913599048,6
threshold_80,orch_no_reserve,sessions_per_vehicle_day,1.4147186147186146,0.3855844155844155,0.014174061910190104,6
threshold_80,orch_topups_only,service_rate,0.9444142308765966,0.014160890662360795,0.0057084599426462145,6
threshold_80,orch_topups_only,wait_mean_min,6.384586642073571,-0.4683909508490318,0.07975941724269288,6
threshold_80,orch_topups_only,energy_cost_usd_per_day,465.32557567014055,-81.10604718189079,9.960677120102709,6
threshold_80,orch_topups_only,avg_price_usd_mwh,29.807165470476594,-6.311484193472399,0.8131465597707603,6
threshold_80,orch_topups_only,peak_charging_mw,3.239725876602691,0.06885477129652291,0.07301710681926445,6
threshold_80,orch_topups_only,queue_wait_mean_min,18.899453862896916,13.290177764419573,1.9132937186991823,6
threshold_80,orch_topups_only,sessions_per_vehicle_day,1.3803030303030301,0.3511688311688312,0.007627700713964755,6
orchestrated,threshold_80,service_rate,0.9302533402142359,-0.03180896215761031,0.0055070501856378734,6
orchestrated,threshold_80,wait_mean_min,6.852977592922603,0.46684500962222025,0.08405924340334386,6
orchestrated,threshold_80,energy_cost_usd_per_day,546.4316228520314,88.71034911213972,12.370353960794917,6
