,sessions,energy_kwh,users,mean_energy,mean_connected_h,mean_idle_h,temp_c,precip_mm,holiday,dow,stations
2015-12-10,88,789.185569,81,8.968017829545454,3.077023358585859,1.0550031565656566,13.638636363636364,0.5,False,3,22
2015-12-11,91,901.396138,82,9.905452065934066,3.294114774114774,0.9251587301587302,10.393406593406594,0.0945054945054945,False,4,22
2015-12-12,75,658.686602,69,8.782488026666666,2.884151851851852,0.9125555555555555,11.448,0.0,False,5,22
2015-12-13,62,585.105662,57,9.437188096774195,3.1512724014336917,0.8487455197132616,10.28225806451613,0.9951612903225806,False,6,22
2015-12-14,91,830.609119,74,9.127572736263735,2.657579365079365,0.5383485958485958,8.562637362637362,0.0,False,0,22
2015-12-15,90,831.178232,86,9.235313688888889,3.2051543209876545,0.9202345679012345,8.654444444444444,0.0,False,1,22
2015-12-16,89,846.357767,77,9.509637831460674,3.0920318352059923,0.777940074906367,9.996629213483146,0.0,False,2,22
2015-12-17,97,778.130957,81,8.021968628865979,2.8481786941580753,0.8179495990836197,11.361855670103091,0.0,False,3,22
2015-12-18,95,790.193316,84,8.317824378947368,2.750535087719298,0.6923245614035087,11.070526315789474,0.12421052631578948,False,4,22
2015-12-19,72,642.512534,65,8.923785194444443,2.9498649691358025,0.9221604938271606,10.670833333333333,0.03333333333333334,False,5,22
2015-12-20,68,618.917121,61,9.101722367647058,2.809121732026144,0.8094281045751635,9.563235294117646,0.25882352941176473,False,6,22
2015-12-21,71,659.329717,64,9.28633404225352,2.800590766823161,0.651017214397496,12.830985915492958,0.959154929577465,False,0,22
2015-12-22,89,826.828215,83,9.290204662921349,2.975252808988764,0.7842571785268415,13.186516853932583,0.2910112359550562,False,1,22
2015-12-23,77,626.278981,67,8.133493259740261,2.710822510822511,0.7200757575757576,10.175324675324676,0.0,False,2,22
2015-12-24,54,466.71109,47,8.642797962962963,3.1815329218106996,1.0098045267489713,8.198148148148148,0.8425925925925926,False,3,22
2015-12-25,15,234.405025,15,15.627001666666667,3.630333333333333,0.6714629629629629,8.5,0.0,True,4,22
2015-12-26,55,463.084438,48,8.419717054545455,2.726424242424242,0.8190707070707071,7.745454545454545,0.0,False,5,22
2015-12-27,55,376.148255,45,6.839059181818182,1.951151515151515,0.4405050505050505,6.84,0.007272727272727273,False,6,22
2015-12-28,75,629.411708,66,8.392156106666667,2.8902074074074076,0.9172333333333333,7.198666666666666,0.0,False,0,22
2015-12-29,84,626.772896,71,7.461582095238095,2.5860152116402118,0.7150000000000001,8.571428571428571,0.0,False,1,22
2015-12-30,70,636.207284,61,9.088675485714285,2.768420634920635,0.5935277777777778,8.807142857142857,0.0,False,2,22
2015-12-31,67,634.080294,55,9.463884985074626,3.050219734660033,0.8386069651741294,7.597014925373134,0.0,False,3,22
2016-01-01,46,420.482614,42,9.140926391304347,3.4895893719806765,1.352300724637681,7.515217391304348,0.0,True,4,22
2016-01-02,65,589.417834,54,9.067966676923076,2.9225256410256413,0.895034188034188,10.096923076923076,0.0,False,5,22
2016-01-03,61,560.173663,55,9.183174803278689,2.8456967213114757,0.8740619307832422,11.462295081967214,0.02459016393442623,False,6,22
2016-01-04,91,837.3342,79,9.201474725274725,2.916086691086691,0.6892124542124543,11.564835164835166,0.3956043956043956,False,0,22
2016-01-05,99,866.777259,84,8.755325848484848,2.648094837261504,0.5669640852974186,10.522222222222222,0.6606060606060606,False,1,22
2016-01-06,90,816.68418,79,9.074268666666667,2.7104537037037035,0.5060987654320988,9.77111111111111,1.3955555555555554,False,2,22
2016-01-07,98,934.615716,88,9.53689506122449,3.0928231292517006,0.8195153061224489,9.467346938775512,0.0030612244897959186,False,3,22
2016-01-08,100,758.804873,85,7.588048730000001,2.443411111111111,0.4858916666666666,10.191,0.0,False,4,22
2016-01-09,86,750.170636,76,8.722914372093022,3.0621220930232553,0.899405684754522,11.548837209302325,0.0034883720930232558,False,5,22
2016-01-10,69,646.36119,60,9.367553478260868,3.2550845410628018,1.0832648953301127,11.202898550724637,0.0,False,6,22
2016-01-11,92,796.449693,81,8.657061880434783,2.70151268115942,0.6539462560386474,12.498913043478263,0.0,False,0,22
2016-01-12,101,841.598581,83,8.332659217821782,2.632046204620462,0.6698542354235424,12.423762376237624,0.0009900990099009901,False,1,22
2016-01-13,100,806.598733,86,8.06598733,2.6072527777777776,0.6223916666666667,12.425999999999998,0.175,False,2,22
2016-01-14,109,830.092941,90,7.61553156880734,2.5971941896024466,0.6263404689092762,10.01834862385321,0.21926605504587157,False,3,22
2016-01-15,127,1084.230373,111,8.537247031496063,2.7755533683289593,0.5227930883639546,12.61023622047244,0.006299212598425198,False,4,22
2016-01-16,107,1146.488734,88,10.714847981308411,3.444119937694704,1.0986915887850468,13.498130841121496,0.07383177570093458,False,5,22
2016-01-17,90,857.613073,77,9.529034144444445,2.6661018518518516,0.6901820987654321,13.48777777777778,0.4455555555555556,False,6,22
2016-01-18,127,1114.368925,104,8.77455846456693,2.7701968503937007,0.6842169728783902,13.41496062992126,0.1937007874015748,True,0,22
2016-01-19,127,1037.01137,104,8.165443858267716,2.7482436570428694,0.7019597550306211,13.88267716535433,0.9503937007874016,False,1,22
2016-01-20,128,1095.338441,112,8.5573315703125,2.7377430555555557,0.5956510416666667,12.76953125,0.0,False,2,22
2016-01-21,146,1204.765296,129,8.251817095890411,2.726788432267884,0.6830650684931507,13.254109589041095,0.0,False,3,22
2016-01-22,125,1056.953378,109,8.455627024,2.7743688888888887,0.7137888888888889,14.124,0.188,False,4,22
2016-01-23,99,856.528071,90,8.651798696969697,2.905937149270483,0.9882491582491583,11.367676767676768,0.4585858585858586,False,5,22
2016-01-24,91,907.213546,82,9.969379626373625,3.274899267399267,0.9948626373626374,11.127472527472527,0.0,False,6,22
2016-01-25,137,1194.027049,117,8.715525905109489,2.8402412814274127,0.7115693430656934,12.111678832116787,0.0,False,0,22
2016-01-26,144,1376.762247,122,9.5608489375,2.981695601851852,0.6882696759259259,11.475000000000001,0.0,False,1,22
2016-01-27,128,1033.306776,113,8.0727091875,2.8330794270833333,0.7631336805555555,12.54453125,0.0,False,2,22
2016-01-28,132,1076.887205,116,8.158236401515152,2.475641835016835,0.4376578282828283,12.975,0.02121212121212121,False,3,22
2016-01-29,134,1200.297809,113,8.957446335820896,2.752553897180763,0.6288370646766169,14.434328358208955,0.017164179104477612,False,4,22
2016-01-30,114,919.892854,104,8.06923556140351,2.401722709551657,0.5773221247563353,11.276315789473685,0.0,False,5,22
2016-01-31,104,929.29823,95,8.935559903846153,3.14477297008547,1.1919337606837606,9.865384615384615,0.006730769230769231,False,6,22
2016-02-01,127,1013.878654,112,7.9832964881889765,3.01673009623797,0.8577405949256343,8.635433070866142,0.0,False,0,22
2016-02-02,127,1174.393418,107,9.247192267716537,3.0089304461942254,0.6456802274715661,9.244881889763779,0.1204724409448819,False,1,22
2016-02-03,143,1333.747717,132,9.326907111888112,2.711653069153069,0.5246833721833721,9.888111888111888,0.0,False,2,22
2016-02-04,129,1203.529178,114,9.329683550387596,3.0604608096468557,0.7586240310077519,11.500775193798448,0.0,False,3,22
2016-02-05,139,1195.150409,122,8.598204381294964,2.694742206235012,0.5839328537170263,12.016546762589927,0.0,False,4,22
2016-02-06,87,913.4209910000001,76,10.499091850574713,3.7051340996168585,1.316353767560664,13.301149425287356,0.0,False,5,22
2016-02-07,75,666.225114,65,8.883001519999999,2.873774074074074,0.9048333333333333,14.785333333333334,0.0,False,6,22
2016-02-08,128,1147.662127,110,8.9661103671875,2.847328559027778,0.6219509548611111,15.92109375,0.0,False,0,22
2016-02-09,130,1188.149942,115,9.139614938461538,2.837653846153846,0.5849786324786325,16.50769230769231,0.0,False,1,22
2016-02-10,134,1266.435104,122,9.451008238805969,2.982247097844113,0.7655576285240464,16.312686567164178,0.0,False,2,22
2016-02-11,132,1021.136525,116,7.735882765151516,2.6401872895622893,0.5635837542087542,15.884848484848487,0.0,False,3,22
2016-02-12,140,1105.2579700000001,123,7.894699785714287,2.5375277777777776,0.6351587301587301,14.957142857142857,0.0,False,4,22
2016-02-13,100,821.837403,87,8.21837403,2.5668555555555552,0.7437055555555555,15.185,0.0,False,5,22
2016-02-14,90,728.685972,78,8.0965108,2.4604290123456787,0.5264783950617284,16.143333333333334,0.0,False,6,22
2016-02-15,118,1044.151359,101,8.848740330508475,2.9698893596986817,0.8177989642184558,18.215254237288136,0.0,True,0,22
2016-02-16,130,1141.787597,117,8.782981515384616,3.0133162393162394,0.8647264957264957,17.883846153846154,0.0,False,1,22
2016-02-17,119,942.760851,106,7.922360092436975,2.9369024276377216,0.9477497665732959,15.443697478991597,0.42436974789915966,False,2,22
2016-02-18,130,1176.949573,118,9.053458253846154,3.136700854700855,0.9066517094017095,12.302307692307693,0.24,False,3,22
2016-02-19,130,1081.914342,117,8.322418015384615,2.7565021367521365,0.7366089743589744,12.133846153846154,0.08,False,4,22
